Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
G1_1	4453	1.0	293.015	6.58%	39.662	3.007%	0.00913	0.999
G1_2	3226	0.999	228.112	7.071%	30.68	3.549%	0.01388	0.999
G1_3	2672	0.998	296.369	11.092%	57.382	6.913%	0.01721	0.997
G1_4	2361	0.997	272.163	11.527%	45.915	7.267%	0.01858	0.997
G1_5	4272	0.998	400.077	9.365%	57.432	5.569%	0.01428	0.998
G1_6	2031	0.998	254.36	12.524%	39.717	7.039%	0.02454	0.997
G1_7	5034	0.999	346.992	6.893%	46.409	3.251%	0.00896	0.999
G1_8	4359	0.999	285.079	6.54%	41.742	3.493%	0.00793	0.999
G1_9	1287	0.996	193.125	15.006%	30.388	9.238%	0.04148	0.996
G1_10	1358	0.998	178.772	13.164%	24.157	5.917%	0.04117	0.998
G1_11	1282	0.994	237.489	18.525%	39.592	10.914%	0.04686	0.993
G1_12	4100	0.999	356.626	8.698%	49.158	4.622%	0.01077	0.999
G1_13	1512	0.998	186.035	12.304%	27.815	6.353%	0.02888	0.998
G1_14	1470	0.998	170.202	11.578%	24.205	5.64%	0.03293	0.998
G1_15	4595	0.999	313.518	6.823%	41.054	3.702%	0.00774	0.999
G1_16	1668	0.993	284.48	17.055%	56.61	11.848%	0.03983	0.992
G1_17	4363	0.999	417.477	9.569%	70.382	5.543%	0.01214	0.998
G1_18	2235	0.998	292.488	13.087%	39.915	6.72%	0.02814	0.997
G1_19	2563	0.999	208.196	8.123%	28.679	3.671%	0.01579	0.999
G1_20	1438	0.996	213.121	14.821%	36.759	8.622%	0.03188	0.996
G1_21	1996	0.997	255.858	12.819%	43.983	8.366%	0.02216	0.996
G1_22	1898	0.999	194.518	10.249%	27.687	5.446%	0.02037	0.998
G1_23	4766	0.999	329.502	6.914%	49.35	3.748%	0.00826	0.999
G2_1	987	0.994	176.805	17.913%	27.419	10.748%	0.04845	0.993
G2_2	4306	0.999	348.327	8.089%	47.408	3.817%	0.01143	0.999
G2_3	3841	0.999	333.625	8.686%	63.652	4.986%	0.01215	0.999
G2_4	5042	1.0	318.942	6.326%	41.379	2.722%	0.00948	1.0
G2_5	2052	0.999	221.361	10.788%	31.273	4.913%	0.02457	0.999
G2_6	1947	0.998	210.959	10.835%	36.704	6.094%	0.01867	0.998
G2_7	4061	1.0	251.814	6.201%	33.257	2.835%	0.00836	1.0
G2_8	2227	0.998	253.471	11.382%	39.579	6.352%	0.01925	0.998
G2_9	4776	1.0	321.425	6.73%	43.11	2.684%	0.00974	1.0
G2_10	4032	0.999	258.051	6.4%	38.168	3.246%	0.0103	0.999
G2_11	4983	0.999	399.554	8.018%	54.738	4.352%	0.01046	0.999
G2_12	1364	0.997	194.677	14.273%	32.457	7.728%	0.04183	0.997
G2_13	2026	0.999	176.64	8.719%	26.481	4.31%	0.01802	0.999
G2_14	2157	0.999	219.188	10.162%	29.6	5.016%	0.01694	0.999
G2_15	2532	0.999	244.151	9.643%	35.529	4.175%	0.0194	0.999
G2_16	1865	0.999	146.872	7.875%	20.53	3.451%	0.01816	0.999
G2_17	2833	0.999	243.074	8.58%	41.461	4.078%	0.01352	0.999
G2_18	3536	0.999	253.035	7.156%	36.426	3.192%	0.01345	0.999
G2_19	2082	0.998	256.515	12.321%	38.233	6.601%	0.02769	0.998
G2_20	3685	0.999	282.599	7.669%	40.52	3.677%	0.01151	0.999
G2_21	4374	0.999	379.945	8.686%	54.909	4.694%	0.01149	0.999
G2_22	531	0.989	140.793	26.515%	20.874	14.584%	0.09994	0.988
G2_23	2208	0.999	220.223	9.974%	33.928	4.942%	0.02158	0.999
G2_24	1456	0.997	238.187	16.359%	36.05	7.973%	0.04499	0.996
G2_25	2732	0.999	240.14	8.79%	37.159	4.387%	0.01569	0.999
G2_26	1583	0.997	240.386	15.185%	35.1	7.325%	0.04522	0.997
G2_27	3764	0.999	336.608	8.943%	49.571	4.497%	0.01733	0.999
G2_28	4527	0.999	332.466	7.344%	48.382	3.75%	0.01023	0.999
G2_29	4836	0.999	372.188	7.696%	62.2	4.298%	0.00978	0.999
G2_30	4960	1.0	347.929	7.015%	48.061	3.13%	0.01006	0.999
G2_31	804	0.996	143.322	17.826%	21.038	9.219%	0.05133	0.995
G2_32	2631	0.999	246.956	9.386%	37.873	4.898%	0.01711	0.999
G2_33	1948	0.999	191.078	9.809%	29.742	4.865%	0.02192	0.999
G2_34	1221	0.997	179.841	14.729%	26.21	7.918%	0.03989	0.997
G2_35	2774	0.999	243.35	8.773%	37.246	4.479%	0.01533	0.999
G2_36	1565	0.998	220.78	14.107%	30.347	7.069%	0.0294	0.997
G2_37	2162	0.998	248.271	11.483%	38.427	6.412%	0.02195	0.998
G2_38	3072	0.999	285.055	9.279%	41.291	4.743%	0.01917	0.999
G2_39	3424	0.998	373.949	10.921%	57.569	6.137%	0.01577	0.998
G2_40	979	0.998	152.673	15.595%	21.329	7.032%	0.05042	0.998
G2_41	1741	0.999	164.247	9.434%	21.697	4.39%	0.02161	0.999
G2_42	3695	0.999	280.281	7.585%	42.788	3.786%	0.0113	0.999
G2_43	2091	0.998	255.128	12.201%	37.832	6.182%	0.02666	0.998
G2_44	3214	0.999	305.189	9.496%	45.914	4.585%	0.01327	0.999
G2_45	3487	0.999	305.897	8.772%	50.069	4.29%	0.01142	0.999
G2_46	1579	0.998	217.834	13.796%	32.607	7.03%	0.03427	0.997
G2_47	931	0.995	164.494	17.669%	29.539	10.139%	0.06614	0.994
G2_48	3198	0.998	321.528	10.054%	55.432	6.347%	0.01204	0.998
G2_49	2484	0.999	210.608	8.479%	29.884	4.015%	0.01567	0.999
G2_50	4625	0.999	319.918	6.917%	51.374	3.428%	0.00805	0.999
G2_51	2513	0.999	272.136	10.829%	40.751	5.34%	0.02149	0.998
G2_52	3129	0.999	267.723	8.556%	41.502	4.587%	0.01309	0.999
G2_53	1307	0.998	175.527	13.43%	25.918	6.765%	0.03686	0.997
G2_54	3814	0.999	333.092	8.733%	52.645	4.455%	0.01111	0.999
G2_55	2702	0.999	254.558	9.421%	34.515	4.569%	0.01916	0.999
G2_56	4295	0.999	289.183	6.733%	43.43	3.661%	0.00901	0.999
G2_57	2326	0.999	233.726	10.048%	33.273	4.436%	0.02419	0.999
G2_58	3040	0.998	290.126	9.544%	48.62	5.778%	0.01168	0.998
G2_59	1113	0.997	156.229	14.037%	23.267	7.589%	0.03687	0.997
G2_60	3285	0.998	357.402	10.88%	54.857	5.552%	0.02266	0.998
G2_61	4902	0.999	340.562	6.947%	47.063	3.231%	0.00899	0.999
G2_62	1017	0.996	155.998	15.339%	23.484	8.603%	0.03692	0.996
G2_63	1327	0.997	196.646	14.819%	34.536	8.097%	0.04247	0.997
G2_64	3504	0.999	315.462	9.003%	48.021	4.333%	0.01463	0.999
G2_65	1745	0.998	214.398	12.286%	31.074	5.726%	0.02658	0.998
G2_66	4709	0.999	376.199	7.989%	75.245	4.403%	0.00823	0.999
