NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	270.619	11.289	46.4	5.968	0.025	0.998	10000.0
2	269.332	11.27	46.392	5.995	0.025	0.998	10000.0
3	269.292	11.23	46.41	5.953	0.025	0.998	10000.0
4	271.79	11.291	47.17	6.032	0.025	0.998	10000.0
5	270.833	11.263	46.769	5.992	0.025	0.998	10000.0
6	270.417	11.242	46.688	5.957	0.025	0.998	10000.0
7	267.277	11.102	45.74	5.86	6.647	0.998	10000.0
8	270.088	11.186	47.004	5.92	0.025	0.998	10000.0
9	270.274	11.264	46.207	5.927	0.025	0.998	10000.0
10	267.603	11.13	45.545	5.802	0.024	0.998	10000.0
