NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	270.241	11.282	46.112	5.928	0.025	0.998	10000.0
2	270.658	11.301	46.745	6.027	0.025	0.998	10000.0
3	269.419	11.247	46.318	5.926	0.025	0.998	10000.0
4	272.14	11.322	47.344	6.056	0.025	0.998	10000.0
5	271.695	11.299	46.844	5.988	0.025	0.998	10000.0
6	270.629	11.255	46.791	5.958	0.025	0.998	10000.0
7	269.912	11.233	46.209	5.924	0.025	0.998	10000.0
8	271.363	11.258	46.907	5.941	0.025	0.998	10000.0
9	270.782	11.305	46.091	5.914	0.025	0.998	10000.0
10	267.716	11.163	45.809	5.85	0.024	0.998	10000.0
