Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
G1_1	4453	1.0	284.822	6.396%	39.631	3.005%	0.00907	0.999
G1_2	3226	0.999	219.739	6.812%	30.592	3.539%	0.01355	0.999
G1_3	2672	0.997	305.642	11.439%	62.135	7.486%	0.0188	0.997
G1_4	2361	0.997	277.62	11.759%	48.947	7.747%	0.01895	0.997
G1_5	4272	0.998	411.183	9.625%	62.22	6.033%	0.01231	0.998
G1_6	2031	0.997	260.329	12.818%	41.547	7.363%	0.02459	0.997
G1_7	5034	0.999	352.673	7.006%	50.005	3.503%	0.00987	0.999
G1_8	4359	0.999	310.617	7.126%	47.046	3.937%	0.00865	0.999
G1_9	1287	0.996	195.065	15.157%	30.568	9.293%	0.0393	0.996
G1_10	1358	0.998	182.118	13.411%	25.304	6.198%	0.04316	0.998
G1_11	1282	0.993	233.788	18.236%	42.573	11.736%	0.0443	0.992
G1_12	4100	0.998	396.935	9.681%	59.795	5.622%	0.01314	0.998
G1_13	1512	0.998	188.279	12.452%	28.592	6.53%	0.02978	0.998
G1_14	1470	0.998	178.44	12.139%	26.859	6.259%	0.0323	0.998
G1_15	4595	0.999	351.014	7.639%	49.231	4.44%	0.00844	0.999
G1_16	1668	0.992	293.132	17.574%	58.611	12.267%	0.04008	0.991
G1_17	4363	0.998	425.428	9.751%	74.947	5.903%	0.01175	0.998
G1_18	2235	0.997	267.275	11.959%	42.928	7.227%	0.02013	0.997
G1_19	2563	0.999	230.052	8.976%	32.411	4.148%	0.01635	0.999
G1_20	1438	0.996	221.499	15.403%	38.923	9.129%	0.03206	0.995
G1_21	1996	0.996	269.377	13.496%	47.028	8.946%	0.02302	0.995
G1_22	1898	0.998	225.073	11.858%	32.009	6.296%	0.02259	0.998
G1_23	4766	0.999	352.349	7.393%	52.822	4.012%	0.0094	0.999
G2_1	987	0.994	167.115	16.932%	27.737	10.872%	0.04575	0.993
G2_2	4306	0.999	324.347	7.532%	43.555	3.507%	0.01009	0.999
G2_3	3841	0.999	355.678	9.26%	66.401	5.201%	0.01426	0.999
G2_4	5042	1.0	326.65	6.479%	42.807	2.816%	0.00986	1.0
G2_5	2052	0.999	230.113	11.214%	32.686	5.135%	0.02724	0.999
G2_6	1947	0.998	244.014	12.533%	44.198	7.338%	0.02527	0.997
G2_7	4061	1.0	276.565	6.81%	36.569	3.117%	0.00913	0.999
G2_8	2227	0.998	241.65	10.851%	36.607	5.875%	0.01953	0.998
G2_9	4776	1.0	344.367	7.21%	49.757	3.098%	0.01035	1.0
G2_10	4032	0.999	265.524	6.585%	37.9	3.224%	0.01015	0.999
G2_11	4983	0.999	409.847	8.225%	58.381	4.641%	0.01177	0.999
G2_12	1364	0.997	189.939	13.925%	31.21	7.431%	0.03918	0.997
G2_13	2026	0.999	193.678	9.56%	28.843	4.695%	0.01984	0.999
G2_14	2157	0.999	226.658	10.508%	30.768	5.213%	0.01858	0.999
G2_15	2532	0.999	248.51	9.815%	35.815	4.208%	0.01941	0.999
G2_16	1865	0.999	170.696	9.153%	24.283	4.082%	0.02015	0.999
G2_17	2833	0.999	243.575	8.598%	40.149	3.948%	0.01394	0.999
G2_18	3536	0.999	259.129	7.328%	39.167	3.432%	0.01394	0.999
