NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	399.696	15.799	95.298	10.949	0.033	0.994	10000.0
2	399.442	15.696	95.468	10.81	0.033	0.994	10000.0
3	400.795	15.815	96.333	10.978	6.655	0.994	10000.0
4	400.499	15.769	96.117	10.952	0.034	0.994	10000.0
5	403.897	15.858	97.531	11.045	0.033	0.994	10000.0
6	401.682	15.807	96.952	11.011	0.033	0.994	10000.0
7	401.465	15.792	96.203	10.959	0.033	0.994	10000.0
8	402.285	15.847	96.523	11.011	0.033	0.994	10000.0
9	403.717	15.936	96.821	11.049	0.033	0.994	10000.0
10	399.911	15.734	95.333	10.858	0.033	0.994	10000.0
