Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
G1_1	4453	0.998	533.368	11.978%	124.163	9.414%	0.01369	0.999
G1_2	3226	0.994	487.09	15.099%	103.011	11.916%	0.02221	0.993
G1_3	2672	0.99	514.597	19.259%	146.786	17.685%	0.03052	0.99
G1_4	2361	0.99	432.838	18.333%	91.987	14.559%	0.02981	0.989
G1_5	4272	0.982	974.263	22.806%	255.66	24.79%	0.03333	0.98
G1_6	2031	0.997	263.777	12.988%	45.685	8.096%	0.0229	0.996
G1_7	5034	0.991	831.107	16.51%	195.638	13.704%	0.024	0.99
G1_8	4359	0.992	625.672	14.354%	149.353	12.499%	0.02125	0.991
G1_9	1287	0.974	370.523	28.79%	83.471	25.376%	0.07495	0.97
G1_10	1358	0.994	297.533	21.91%	58.144	14.241%	0.05344	0.994
G1_11	1282	0.993	226.359	17.657%	42.102	11.606%	0.04429	0.992
G1_12	4100	0.991	667.34	16.277%	165.416	15.552%	0.0212	0.989
G1_13	1512	0.98	348.407	23.043%	86.671	19.794%	0.07064	0.978
G1_14	1470	0.998	216.044	14.697%	36.753	8.565%	0.03608	0.998
G1_15	4595	0.987	876.529	19.076%	240.389	21.678%	0.02288	0.986
G1_16	1668	0.991	339.569	20.358%	66.335	13.883%	0.04349	0.989
G1_17	4363	0.988	865.336	19.834%	209.226	16.478%	0.032	0.987
G1_18	2235	0.994	346.593	15.508%	63.562	10.7%	0.02891	0.994
G1_19	2563	0.993	471.315	18.389%	117.154	14.995%	0.02804	0.993
G1_20	1438	0.995	262.825	18.277%	51.627	12.109%	0.03848	0.994
G1_21	1996	0.989	356.762	17.874%	83.199	15.826%	0.031	0.988
G1_22	1898	0.997	264.302	13.925%	42.479	8.356%	0.02607	0.996
G1_23	4766	0.996	520.087	10.912%	115.051	8.739%	0.01492	0.996
G2_1	987	0.99	258.266	26.167%	52.835	20.71%	0.06845	0.991
G2_2	4306	0.995	807.028	18.742%	168.696	13.582%	0.08466	0.994
G2_3	3841	0.998	518.166	13.49%	122.41	9.589%	0.02622	0.998
G2_4	5042	1.0	342.879	6.8%	49.848	3.279%	0.00937	1.0
G2_5	2052	0.998	333.488	16.252%	58.81	9.238%	0.03483	0.998
G2_6	1947	0.996	299.078	15.361%	61.284	10.175%	0.02346	0.996
G2_7	4061	0.999	334.174	8.229%	46.773	3.987%	0.01037	0.999
G2_8	2227	0.998	280.009	12.573%	45.388	7.284%	0.02305	0.997
G2_9	4776	0.998	639.241	13.384%	151.348	9.422%	0.06266	0.998
G2_10	4032	0.999	421.331	10.45%	76.189	6.48%	0.01568	0.999
G2_11	4983	0.995	736.158	14.773%	140.452	11.166%	0.0324	0.994
G2_12	1364	0.995	304.595	22.331%	55.701	13.262%	0.05913	0.995
G2_13	2026	0.999	231.641	11.433%	35.932	5.849%	0.02199	0.999
G2_14	2157	0.998	359.717	16.677%	71.407	12.1%	0.02766	0.998
G2_15	2532	0.998	435.886	17.215%	88.473	10.395%	0.03138	0.998
G2_16	1865	0.998	235.927	12.65%	39.497	6.639%	0.04029	0.998
G2_17	2833	0.996	568.761	20.076%	158.575	15.595%	0.06081	0.996
G2_18	3536	0.999	425.537	12.034%	88.905	7.791%	0.01835	0.999
G2_19	2082	0.997	262.878	12.626%	41.529	7.17%	0.03022	0.997
G2_20	3685	0.999	332.945	9.035%	52.743	4.787%	0.01248	0.999
G2_21	4374	0.997	508.38	11.623%	92.947	7.946%	0.02225	0.996
G2_22	531	0.975	197.921	37.273%	40.941	28.604%	0.22116	0.974
G2_23	2208	0.998	258.075	11.688%	42.631	6.21%	0.02436	0.998
G2_24	1456	0.996	269.664	18.521%	47.66	10.54%	0.04876	0.996
G2_25	2732	0.999	247.736	9.068%	38.867	4.589%	0.01599	0.999
G2_26	1583	0.997	238.389	15.059%	37.321	7.788%	0.04064	0.997
G2_27	3764	0.998	491.465	13.057%	88.236	8.004%	0.02286	0.997
G2_28	4527	0.999	373.679	8.254%	54.659	4.237%	0.01165	0.999
G2_29	4836	0.999	387.422	8.011%	71.993	4.975%	0.01034	0.999
G2_30	4960	0.999	488.755	9.854%	92.126	5.999%	0.01224	0.999
G2_31	804	0.995	162.34	20.192%	23.276	10.2%	0.0651	0.994
G2_32	2631	0.998	320.778	12.192%	53.82	6.96%	0.02378	0.998
G2_33	1948	0.999	208.923	10.725%	31.832	5.207%	0.02398	0.999
G2_34	1221	0.994	220.138	18.029%	37.029	11.187%	0.06182	0.993
G2_35	2774	0.999	307.493	11.085%	52.98	6.372%	0.01882	0.999
G2_36	1565	0.994	397.709	25.413%	77.701	18.1%	0.07696	0.994
G2_37	2162	0.997	305.479	14.129%	48.881	8.156%	0.0286	0.997
G2_38	3072	0.998	322.508	10.498%	48.769	5.602%	0.02159	0.998
G2_39	3424	0.998	434.825	12.699%	73.746	7.862%	0.02032	0.997
G2_40	979	0.998	157.658	16.104%	23.103	7.617%	0.0484	0.997
G2_41	1741	0.999	194.254	11.158%	26.467	5.355%	0.02406	0.999
G2_42	3695	0.998	379.494	10.27%	68.874	6.094%	0.03894	0.998
G2_43	2091	0.998	284.648	13.613%	42.851	7.003%	0.03214	0.997
G2_44	3214	0.998	396.667	12.342%	69.338	6.924%	0.0471	0.997
G2_45	3487	0.994	594.501	17.049%	148.38	12.713%	0.06506	0.993
G2_46	1579	0.997	216.803	13.73%	35.206	7.59%	0.03186	0.997
G2_47	931	0.993	243.786	26.185%	44.061	15.123%	0.08283	0.993
G2_48	3198	0.996	421.558	13.182%	79.654	9.121%	0.02302	0.996
G2_49	2484	0.999	250.525	10.086%	39.503	5.308%	0.01704	0.999
G2_50	4625	0.996	549.523	11.882%	135.346	9.032%	0.0508	0.996
G2_51	2513	0.998	294.862	11.733%	43.787	5.738%	0.02216	0.998
G2_52	3129	0.997	365.96	11.696%	72.24	7.985%	0.02354	0.997
G2_53	1307	0.997	227.151	17.38%	34.403	8.98%	0.0457	0.996
G2_54	3814	0.999	473.457	12.414%	89.82	7.601%	0.01474	0.999
G2_55	2702	0.997	371.621	13.754%	62.93	8.331%	0.03274	0.997
G2_56	4295	0.998	698.569	16.265%	149.009	12.561%	0.02371	0.998
G2_57	2326	0.998	370.23	15.917%	73.913	9.854%	0.03165	0.998
G2_58	3040	0.982	846.124	27.833%	199.178	23.671%	0.15632	0.981
G2_59	1113	0.996	172.275	15.478%	27.003	8.808%	0.04302	0.996
G2_60	3285	0.998	457.155	13.916%	79.657	8.062%	0.02763	0.998
G2_61	4902	0.998	577.773	11.786%	114.542	7.864%	0.01746	0.998
G2_62	1017	0.993	183.989	18.091%	31.439	11.517%	0.05069	0.992
G2_63	1327	0.995	270.425	20.379%	55.694	13.057%	0.0532	0.995
G2_64	3504	0.999	371.498	10.602%	64.18	5.791%	0.0175	0.999
G2_65	1745	0.998	216.702	12.418%	32.66	6.018%	0.02809	0.998
G2_66	4709	0.988	1033.319	21.943%	345.764	20.233%	0.061	0.988
G2_67	2583	0.996	509.529	19.726%	95.977	14.551%	0.03368	0.997
G2_68	3891	0.999	465.153	11.955%	81.418	6.922%	0.01789	0.999
G2_69	1981	0.998	237.262	11.977%	36.729	6.731%	0.02677	0.998
G2_70	3681	0.998	386.626	10.503%	66.69	6.085%	0.01531	0.998
G2_71	1959	0.997	287.885	14.696%	47.267	8.57%	0.03267	0.996
G2_72	3054	0.997	384.239	12.581%	62.36	7.256%	0.02404	0.997
G2_73	2423	0.995	471.85	19.474%	95.773	13.768%	0.07223	0.995
G3_1	2181	0.999	238.792	10.949%	36.125	4.275%	0.03258	0.999
G3_2	4840	1.0	377.311	7.796%	68.185	3.406%	0.01411	1.0
G3_3	737	0.998	132.562	17.987%	23.289	8.071%	0.07385	0.998
G3_4	4459	0.999	747.721	16.769%	172.246	9.624%	0.04596	0.999
G3_5	1883	0.998	270.965	14.39%	54.828	7.312%	0.04036	0.998
G3_6	1044	0.997	200.268	19.183%	36.929	9.336%	0.0625	0.997
G3_7	1587	0.999	215.398	13.573%	36.27	5.482%	0.04052	0.999
G3_8	2192	0.999	214.093	9.767%	34.181	3.622%	0.03779	0.999
G3_9	3946	0.998	469.345	11.894%	103.927	6.173%	0.06874	0.998
G3_10	3394	0.999	317.453	9.353%	63.818	4.739%	0.01315	0.999
G3_11	4342	0.999	405.589	9.341%	74.539	4.537%	0.01615	0.999
G3_12	4806	0.999	749.159	15.588%	218.715	9.809%	0.03239	0.999
G3_13	2750	0.998	462.476	16.817%	111.874	11.522%	0.03417	0.998
G3_14	2005	0.998	310.82	15.502%	68.996	8.893%	0.04447	0.998
G3_15	3893	0.998	651.595	16.738%	157.825	10.207%	0.03588	0.998
G3_16	957	0.999	137.671	14.386%	23.384	5.728%	0.06246	0.999
G3_17	1298	0.994	335.405	25.84%	66.297	15.61%	0.07812	0.994
G3_18	2578	0.999	305.1	11.835%	77.795	6.93%	0.02578	0.999
G3_19	1631	0.998	217.626	13.343%	34.09	5.662%	0.03756	0.998
G3_20	3862	0.999	489.696	12.68%	115.119	7.101%	0.02273	0.999
G3_21	1153	0.998	217.97	18.905%	38.755	9.172%	0.06399	0.998
G3_22	3197	0.996	430.266	13.458%	92.71	8.621%	0.03994	0.996
G3_23	3413	0.997	735.569	21.552%	196.675	13.815%	0.05591	0.998
G3_24	1079	0.999	174.006	16.127%	32.907	7.95%	0.04714	0.999
G3_25	4095	0.993	733.183	17.904%	302.588	15.208%	0.0793	0.993
G3_26	691	0.991	175.603	25.413%	39.362	13.106%	0.09037	0.991
G3_27	1213	0.998	247.393	20.395%	48.523	10.169%	0.09235	0.998
G3_28	3180	0.992	578.38	18.188%	211.304	14.037%	0.06254	0.992
G3_29	1714	0.999	193.522	11.291%	37.993	5.131%	0.07583	0.999
G3_30	5047	1.0	463.759	9.189%	100.239	4.437%	0.01656	1.0
G3_31	2940	0.999	403.913	13.739%	96.051	7.534%	0.02867	0.999
G3_32	683	0.992	173.235	25.364%	38.427	12.711%	0.15675	0.991
G3_33	2164	1.0	245.448	11.342%	51.901	5.375%	0.02811	1.0
G3_34	4961	0.999	408.714	8.239%	86.708	3.963%	0.02495	0.999
G3_35	1992	0.999	207.879	10.436%	37.232	4.478%	0.03597	0.999
G3_36	659	0.998	121.003	18.362%	18.919	7.102%	0.08486	0.998
G3_37	3844	0.998	744.711	19.373%	198.336	12.509%	0.04812	0.998
G3_38	2100	0.998	460.935	21.949%	108.24	13.325%	0.0595	0.998
G3_39	3055	0.996	495.342	16.214%	139.445	9.938%	0.05425	0.996
G3_40	4104	0.997	644.28	15.699%	151.71	10.043%	0.03775	0.997
G3_41	4147	0.999	868.689	20.947%	200.385	12.582%	0.05732	0.999
G3_42	2484	0.999	444.905	17.911%	119.751	10.516%	0.04614	0.999
G3_43	4102	1.0	350.927	8.555%	62.648	3.699%	0.01536	1.0
G3_44	2424	0.994	458.243	18.904%	150.302	13.146%	0.09113	0.993
G3_45	1273	0.999	155.36	12.204%	23.238	4.729%	0.04781	0.999
G3_46	1583	0.999	273.725	17.292%	66.81	10.861%	0.04638	0.999
G3_47	1494	0.999	170.344	11.402%	27.513	4.25%	0.03417	0.999
G3_48	1440	0.987	412.799	28.667%	158.557	21.36%	0.10694	0.987
G3_49	2810	0.999	352.27	12.536%	85.816	7.683%	0.02615	0.999
G3_50	2946	0.999	340.34	11.553%	62.099	5.478%	0.02772	0.999
G3_51	3774	0.999	336.431	8.914%	63.45	4.368%	0.01858	0.999
G3_52	1839	0.998	243.59	13.246%	50.803	6.457%	0.03783	0.998
G3_53	1326	0.999	175.142	13.208%	32.05	5.505%	0.04234	0.999
G3_54	871	0.998	138.929	15.951%	23.297	6.518%	0.06694	0.998
G3_55	4792	0.996	653.307	13.633%	214.954	9.841%	0.06159	0.996
