NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	730.575	27.631	263.515	29.349	0.099	0.928	10000.0
2	761.314	28.384	234.288	27.215	0.101	0.927	10000.0
3	761.136	28.413	234.681	27.278	0.101	0.927	10000.0
4	732.184	27.698	264.281	29.412	0.1	0.929	10000.0
5	732.226	27.71	265.103	29.544	0.099	0.929	10000.0
6	730.899	27.642	264.097	29.465	0.099	0.928	10000.0
7	731.098	27.649	264.87	29.519	0.1	0.928	10000.0
8	732.302	27.699	265.635	29.557	0.099	0.928	10000.0
9	761.083	28.384	233.823	27.167	0.101	0.927	10000.0
10	759.825	28.337	233.139	27.134	0.101	0.927	10000.0
