NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	322.986	13.156	63.362	7.79	0.029	0.997	10000.0
2	324.696	13.184	63.765	7.815	0.028	0.998	10000.0
3	363.147	14.471	85.67	9.834	0.029	0.994	10000.0
4	323.856	13.207	64.307	7.973	0.029	0.997	10000.0
5	324.771	13.146	65.447	7.974	0.029	0.998	10000.0
6	326.2	13.199	66.308	8.043	0.028	0.998	10000.0
7	325.571	13.217	64.013	7.867	0.029	0.998	10000.0
8	364.634	14.471	86.187	9.863	0.029	0.994	10000.0
9	326.124	13.305	64.006	7.922	0.029	0.997	10000.0
10	363.208	14.391	85.039	9.715	0.029	0.995	10000.0
