Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
G1_1	4453	0.698	3024.858	67.929%	974.625	73.896%	0.39599	0.652
G1_2	3226	0.69	2097.951	65.033%	674.491	78.02%	0.42725	0.636
G1_3	2672	0.694	1862.088	69.689%	610.287	73.527%	0.39108	0.65
G1_4	2361	0.678	1577.455	66.813%	502.036	79.461%	0.45685	0.622
G1_5	4272	0.679	2681.678	62.773%	864.804	83.857%	0.43388	0.616
G1_6	2031	0.693	1381.874	68.039%	430.517	76.295%	0.41285	0.642
G1_7	5034	0.71	3291.948	65.394%	1048.981	73.478%	0.33671	0.663
G1_8	4359	0.67	2918.876	66.962%	949.956	79.5%	0.47082	0.614
G1_9	1287	0.665	882.233	68.55%	273.574	83.17%	0.51284	0.603
G1_10	1358	0.705	978.685	72.068%	297.118	72.773%	0.40416	0.661
G1_11	1282	0.687	914.793	71.357%	277.095	76.388%	0.44207	0.637
G1_12	4100	0.682	2650.43	64.645%	850.961	80.003%	0.4323	0.625
G1_13	1512	0.66	1120.693	74.12%	346.446	79.123%	0.55138	0.607
G1_14	1470	0.689	1056.954	71.902%	323.692	75.43%	0.44617	0.64
G1_15	4595	0.692	2839.566	61.797%	908.431	81.922%	0.40122	0.632
G1_16	1668	0.682	1182.274	70.88%	366.339	76.672%	0.4539	0.631
G1_17	4363	0.704	2940.097	67.387%	934.319	73.586%	0.35349	0.657
G1_18	2235	0.713	1443.054	64.566%	445.791	75.047%	0.34511	0.662
G1_19	2563	0.691	1819.476	70.99%	580.033	74.242%	0.40706	0.646
G1_20	1438	0.691	1048.22	72.894%	319.376	74.908%	0.44971	0.644
G1_21	1996	0.683	1329.953	66.631%	417.593	79.433%	0.44528	0.626
G1_22	1898	0.708	1270.299	66.928%	382.913	75.322%	0.36555	0.657
G1_23	4766	0.686	3150.938	66.113%	1019.594	77.445%	0.43359	0.633
G2_1	987	0.987	259.354	26.277%	49.105	19.248%	0.14305	0.986
G2_2	4306	0.977	1012.566	23.515%	266.66	21.468%	0.09333	0.973
G2_3	3841	0.989	756.694	19.7%	256.223	20.071%	0.07025	0.989
G2_4	5042	0.996	652.235	12.936%	153.975	10.129%	0.05345	0.996
G2_5	2052	0.997	365.6	17.817%	70.843	11.129%	0.04845	0.998
G2_6	1947	0.995	356.119	18.291%	75.063	12.463%	0.06641	0.995
G2_7	4061	0.997	490.805	12.086%	89.448	7.625%	0.06168	0.997
G2_8	2227	0.997	290.34	13.037%	45.793	7.349%	0.02607	0.997
G2_9	4776	0.983	1123.32	23.52%	368.602	22.946%	0.08027	0.983
G2_10	4032	0.992	628.123	15.578%	145.982	12.416%	0.058	0.991
G2_11	4983	0.987	968.296	19.432%	230.057	18.29%	0.03771	0.985
G2_12	1364	0.995	309.086	22.66%	55.992	13.331%	0.05994	0.995
G2_13	2026	0.997	311.098	15.355%	63.434	10.325%	0.08614	0.996
G2_14	2157	0.993	357.381	16.568%	72.761	12.329%	0.08196	0.992
G2_15	2532	0.99	594.854	23.493%	171.54	20.155%	0.06989	0.991
G2_16	1865	0.99	377.948	20.265%	102.667	17.258%	0.10448	0.99
G2_17	2833	0.978	884.444	31.219%	286.863	28.212%	0.09551	0.978
G2_18	3536	0.994	628.216	17.766%	182.842	16.024%	0.06745	0.994
G2_19	2082	0.997	265.323	12.744%	42.05	7.26%	0.02931	0.997
